"name@sourceA","locType@sourceA","address@sourceA","attraction_in@sourceB","no_of_attractions@sourceB","no_of_reviews@sourceB","url@sourceB","reviewComment@sourceB","activity_type@sourceB","rank@sourceB","max_rank@sourceB","attraction@sourceB","contact_no@sourceB","knownFor@sourceB","address@sourceB","pinCode@sourceB","address@sourceA","locType@sourceA","name@sourceA","activity_type@sourceB","address@sourceB","attraction@sourceB","attraction_in@sourceB","contact_no@sourceB","knownFor@sourceB","max_rank@sourceB","no_of_attractions@sourceB","no_of_reviews@sourceB","pinCode@sourceB","rank@sourceB","reviewComment@sourceB","url@sourceB","Confidence"
"lake yosemite","water","Lake Yosemite, Lake Road, Merced County, California, United States of America","Merced","9","19","https://www.tripadvisor.com/Attraction_Review-g32706-d7726684-Reviews-Lake_Yosemite-Merced_California.html","N/A","things to do","5","17","Lake Yosemite","","N/A","5614 N Lake Rd , Merced , CA 95340-9121","95340-9121","Lake Yosemite, Lake Road, Merced County, California, United States of America","water","lake yosemite","things to do","5614 N Lake Rd , Merced , CA 95340-9121","Lake Yosemite","Merced","","N/A","17","9","19","95340-9121","5","N/A","https://www.tripadvisor.com/Attraction_Review-g32706-d7726684-Reviews-Lake_Yosemite-Merced_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-Maritime_Museum_of_San_Diego-San_Diego_California.html","Fun way to learn history  Russian Sub tour with audio and video gave insight into the scary period of the Cuban missle crisis. The American sub let you see progress but I wouldn't want to sail on either... read more Reviewed 5 days ago Pam M , Salt Lake City, Utah, United States","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","416","5272","1171","92101-3309","17","Fun way to learn history  Russian Sub tour with audio and video gave insight into the scary period of the Cuban missle crisis. The American sub let you see progress but I wouldn't want to sail on either... read more Reviewed 5 days ago Pam M , Salt Lake City, Utah, United States","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"pebbly beach","village","Pebbly Beach, Los Angeles County, California, United States of America","Crescent City","15","11","https://www.tripadvisor.com/Attraction_Review-g60944-d10413066-Reviews-Pebble_Beach-Crescent_City_California.html","N/A","things to do","16","35","Pebble Beach","","N/A","Pebble Beach Dr , Crescent City , CA 95531","95531","Pebbly Beach, Los Angeles County, California, United States of America","village","pebbly beach","things to do","Pebble Beach Dr , Crescent City , CA 95531","Pebble Beach","Crescent City","","N/A","35","15","11","95531","16","N/A","https://www.tripadvisor.com/Attraction_Review-g60944-d10413066-Reviews-Pebble_Beach-Crescent_City_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or20-Maritime_Museum_of_San_Diego-San_Diego_California.html","Wonderful Presentation of Our Maritime History  The San Diego Maritime Museum is walking distance to the cruise ship terminal and dock. The gem of the collection was the mid-19th century Star of India. It is a steel sailing... read more Reviewed 4 weeks ago mlorahga , Augusta, Georgia","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","416","5272","1171","92101-3309","17","Wonderful Presentation of Our Maritime History  The San Diego Maritime Museum is walking distance to the cruise ship terminal and dock. The gem of the collection was the mid-19th century Star of India. It is a steel sailing... read more Reviewed 4 weeks ago mlorahga , Augusta, Georgia","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or20-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or1050-Maritime_Museum_of_San_Diego-San_Diego_California.html","But the best part of all...  The best exhibit in the Maritime Musuem is the Russian Submarine. Totally awesome. I mean, how often do you see the inside of a Russian Sub? The Star of India was impressive... read more Reviewed October 21, 2007 ak32 , Phoenix, AZ","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Museums , Sights & Landmarks","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Museums , Sights & Landmarks","416","5272","1171","92101-3309","17","But the best part of all...  The best exhibit in the Maritime Musuem is the Russian Submarine. Totally awesome. I mean, how often do you see the inside of a Russian Sub? The Star of India was impressive... read more Reviewed October 21, 2007 ak32 , Phoenix, AZ","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or1050-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or50-Maritime_Museum_of_San_Diego-San_Diego_California.html","Do not miss the SUB  Well worth it. All the ships were very interesting. The Russian Sub mostly the presentation they give was great. Took the cruise on the Californian which was very good. Reviewed August 28, 2016 Mets51 , Atwater, California, Usa","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","416","5272","1171","92101-3309","17","Do not miss the SUB  Well worth it. All the ships were very interesting. The Russian Sub mostly the presentation they give was great. Took the cruise on the Californian which was very good. Reviewed August 28, 2016 Mets51 , Atwater, California, Usa","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or50-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or40-Maritime_Museum_of_San_Diego-San_Diego_California.html","Enjoyable and educational  There was a festival on when I visited, so possibly a bit more life than normal. However, good exhibits and good access. Enjoyed the submarines and seeing how people lived aboard... read more Reviewed September 7, 2016 gmslb , Glasgow, United Kingdom","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","416","5272","1171","92101-3309","17","Enjoyable and educational  There was a festival on when I visited, so possibly a bit more life than normal. However, good exhibits and good access. Enjoyed the submarines and seeing how people lived aboard... read more Reviewed September 7, 2016 gmslb , Glasgow, United Kingdom","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or40-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"pebble beach","hamlet","Pebble Beach, Monterey County, California, United States of America","Crescent City","15","11","https://www.tripadvisor.com/Attraction_Review-g60944-d10413066-Reviews-Pebble_Beach-Crescent_City_California.html","N/A","things to do","16","35","Pebble Beach","","N/A","Pebble Beach Dr , Crescent City , CA 95531","95531","Pebble Beach, Monterey County, California, United States of America","hamlet","pebble beach","things to do","Pebble Beach Dr , Crescent City , CA 95531","Pebble Beach","Crescent City","","N/A","35","15","11","95531","16","N/A","https://www.tripadvisor.com/Attraction_Review-g60944-d10413066-Reviews-Pebble_Beach-Crescent_City_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or1030-Maritime_Museum_of_San_Diego-San_Diego_California.html","Wonderful Museum  This museum is actually a collection of 8 or 9 ships that you can board and tour. There are two submarines. If you are mobility impaired in any way, I would suggest skipping the... read more Reviewed August 8, 2011 Dallas_Traveler3 , Dallas, Texas","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","416","5272","1171","92101-3309","17","Wonderful Museum  This museum is actually a collection of 8 or 9 ships that you can board and tour. There are two submarines. If you are mobility impaired in any way, I would suggest skipping the... read more Reviewed August 8, 2011 Dallas_Traveler3 , Dallas, Texas","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or1030-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or1020-Maritime_Museum_of_San_Diego-San_Diego_California.html","Go for the Tall Ship Festival  Went for the tall ship festival, it was awesome! loved being able to board the ships. I didn't do the canon cruises but I watched those from the dock which was close enough for... read more Reviewed September 12, 2011 riskman , Nevada","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","416","5272","1171","92101-3309","17","Go for the Tall Ship Festival  Went for the tall ship festival, it was awesome! loved being able to board the ships. I didn't do the canon cruises but I watched those from the dock which was close enough for... read more Reviewed September 12, 2011 riskman , Nevada","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or1020-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
