name,locType,address,pinCode
olvera street,pedestrian,"""Olvera Street, Naud Junction, Little Tokyo Historic District, LA, Los Angeles County, California, 90012, United States of America""",90012
boulder bay park,park,"""Boulder Bay Park, Big Bear Boulevard, Big Bear Lake, San Bernardino County, California, 92315, United States of America""",92315
third street promenade,pedestrian,"""Third Street Promenade, Santa Monica, Los Angeles County, California, 90401, United States of America""",90401
the balboa peninsula,suburb,"""Balboa Peninsula, Newport Beach, Orange County, California, United States of America""",
san clemente state beach,beach,"""San Clemente State Beach, Avenida Calafia, San Clemente, Orange County, California, 92672, United States of America""",92672
inland center mall,mall,"""Inland Center, West Central Avenue, Inland Center, San Bernardino, San Bernardino County, California, 92408, United States of America""",92408
surfrider beach,beach,"""Surfrider Beach, Pacific Coast Highway, Malibu, Los Angeles County, California, 90265, United States of America""",90265
obsidian dome,peak,"""Obsidian Dome, Mono County, California, United States of America""",
sports arena boulevard,primary,"""Sports Arena Boulevard, Old Town, San Diego, San Diego County, California, 92110, United States of America""",92110
alcatraz,island,"""Alcatraz Island, SF, California, United States of America""",
little temecula rancho,administrative,"""Rancho California, Temecula, Riverside County, California, United States of America""",
green valley lake,hamlet,"""Green Valley Lake, San Bernardino County, California, United States of America""",
balboa park | balboa park-hillcrest,park,"""Balboa Park, Plaza de Balboa, North Park, Hillcrest, San Diego, San Diego County, California, 92101, United States of America""",92101
san andreas,administrative,"""San Andreas, Angels Road, Toyanza Subdivision, Calaveras County, California, 95249, United States of America""",95249
monterey bay aquarium ca,aquarium,"""MBA, 886, Cannery Row, Monterey, Monterey County, California, 93940, United States of America""",93940
pillar point harbor,dock,"""Pillar Point Harbor, San Mateo County, California, United States of America""",
st. helena highway,trunk,"""Saint Helena Highway, Napa, Napa County, California, 94558, United States of America""",94558
playa del rey,suburb,"""Playa del Rey, LA, Los Angeles County, California, United States of America""",
sunol,hamlet,"""Sunol, Alameda County, California, United States of America""",
maritime museum of san diego,museum,"""Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America""",92106
san francisco bay,bay,"""San Francisco Bay, Ferry Landing, Alameda, Alameda County, California, 94502, United States of America""",94502
death valley,desert,"""Death Valley, Timbisha, Inyo County, California, 92328, United States of America""",92328
riverside national cemetery,cemetery,"""Riverside National Cemetery, 22495, Alessandro, Riverside County, California, 92518, United States of America""",22495
coronado bridge,motorway,"""San Diego-Coronado Bridge, San Diego, San Diego County, California, 92118, United States of America""",92118
mission bay aquatic park,sports_centre,"""Mission Bay Aquatic Center, Santa Clara Place, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America""",92109
ingraham street,secondary,"""Ingraham Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America""",92109
paris las vegas,hotel,"""Paris Las Vegas, 3655, South Las Vegas Boulevard, Hughes Center, Paradise, Clark County, Nevada, 89109, United States of America""",89109
country club gate shopping center,commercial,"""Country Club Gate Shopping Center, Pacific Grove, Monterey County, California, 93950, United States of America""",93950
selland arena,stadium,"""Selland Arena, 700, M Street, Fresno County, California, 93721, United States of America""",93721
beverly hills route,city,"""Beverly Hills, Los Angeles County, California, United States of America""",
old town transit center,station,"""Old Town Transit Center, Congress Street, Old Town, San Diego, San Diego County, California, 92110, United States of America""",92110
san luis rey,hamlet,"""San Luis Rey, San Diego County, California, United States of America""",
boulder city,city,"""Boulder City, Clark County, Nevada, United States of America""",
w. harbor drive,primary,"""West Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92101, United States of America""",92101
china lake boulevard,hamlet,"""China Lake, Kern County, California, United States of America""",
edwards air force base,administrative,"""Edwards Air Force Base, Forbes Avenue, Wherry Housing, Kern County, California, 93523, United States of America""",93523
klamath bridge,reservoir,"""Bridge Creek Waterhole, County Highway 650 North, Lake County, Oregon, United States of America""",
santa monica/venice beach,motorway,"""Palisades Beach Road, Santa Monica, Los Angeles County, California, 90401, United States of America""",90401
palm springs tramway,unclassified,"""Tramway Road, Palm Springs, Riverside County, California, 92262, United States of America""",92262
mission bay park,park,"""Mission Bay Park, Fiesta Island Road, Old Town, San Diego, San Diego County, California, 92109, United States of America""",92109
gilroy gardens,residential,"""Gilroy Garden, Gilroy, Santa Clara County, California, 95036, United States of America""",95036
